name,street,city,state,zip,type,facility_type,specialty,link,msa_name,msa_code,msa_population,msa_median_household_income,pct_under_18,pct_18_34,pct_35_54,pct_55_64,pct_65_plus,median_age,msa_total_population,age_mix_summary,age_mix_category,zip_total_population,zip_population_density,zip_median_household_income,zip_median_home_value,zip_population_growth_rate,zip_under_5,zip_age_5_17,zip_age_18_24,zip_age_25_34,zip_age_35_44,zip_age_45_54,zip_age_55_64,zip_age_65_74,zip_age_75_84,zip_age_85_plus,zip_pct_under_5,zip_pct_age_5_17,zip_pct_age_18_24,zip_pct_age_25_34,zip_pct_age_35_44,zip_pct_age_45_54,zip_pct_age_55_64,zip_pct_age_65_74,zip_pct_age_75_84,zip_pct_age_85_plus,zip_growth_under_18,zip_growth_18_34,zip_growth_35_54,zip_growth_55_64,zip_growth_65_plus,attractiveness_score,attractiveness_category,attractiveness_color,density_score,growth_score,senior_score,income_score,young_family_score,senior_population_pct,young_family_pct,lat,lon,"discharges (inpatient volume, 2023)",patient_days (2023),cmi (12/2023)
SSM Health Dean Medical Group,3200 E. Racine St.,Janesville,WI,53546,,Clinic (or Outpatient Clinic),Pediatrics,https://www.getcare.ssmhealth.com/locations/location-details/dean-medical-group-janesville-east?specialty=Pediatrics,"Janesville, WI Metropolitan Statistical Area",27500.0,30894.398,65404.0,22.3,18.7,25.1,15.2,18.7,41.2,165000.0,"Under 18: 22.3%, 18-34: 18.7%, 35-54: 25.1%, 55-64: 15.2%, 65+: 18.7%",Balanced Age Mix,2008.0,57.371428571428574,48600.0,183466.0,0.4446421476297645,120.0,321.0,180.0,261.0,240.0,261.0,240.0,180.0,120.0,80.0,5.9760956175298805,15.98605577689243,8.964143426294822,12.998007968127489,11.95219123505976,12.998007968127489,11.95219123505976,8.964143426294822,5.9760956175298805,3.98406374501992,0.3557137181038117,0.5335705771557174,0.4001779328667881,0.4891063623927411,0.6669632214446468,43.81975920679888,Medium,#2ca02c,47.80453257790368,62.3229461756374,45.36118980169972,1.5580736543909348,77.52124645892351,18.92430278884462,21.96215139442231,42.670646,-88.980597,,,
SSM Health Dean Medical Group,3200 E. Racine St.,Janesville,WI,53546,,Clinic (or Outpatient Clinic),Internal Medicine,https://www.getcare.ssmhealth.com/locations/location-details/dean-medical-group-janesville-east?specialty=Internal%20Medicine,"Janesville, WI Metropolitan Statistical Area",27500.0,30894.398,65404.0,22.3,18.7,25.1,15.2,18.7,41.2,165000.0,"Under 18: 22.3%, 18-34: 18.7%, 35-54: 25.1%, 55-64: 15.2%, 65+: 18.7%",Balanced Age Mix,2008.0,57.371428571428574,48600.0,183466.0,0.4446421476297645,120.0,321.0,180.0,261.0,240.0,261.0,240.0,180.0,120.0,80.0,5.9760956175298805,15.98605577689243,8.964143426294822,12.998007968127489,11.95219123505976,12.998007968127489,11.95219123505976,8.964143426294822,5.9760956175298805,3.98406374501992,0.3557137181038117,0.5335705771557174,0.4001779328667881,0.4891063623927411,0.6669632214446468,43.81975920679888,Medium,#2ca02c,47.80453257790368,62.3229461756374,45.36118980169972,1.5580736543909348,77.52124645892351,18.92430278884462,21.96215139442231,42.670646,-88.980597,,,
SSM Health Dean Medical Group,3200 E. Racine St.,Janesville,WI,53546,,Clinic (or Outpatient Clinic),Family Medicine,https://www.getcare.ssmhealth.com/locations/location-details/dean-medical-group-janesville-east?specialty=Family%20Medicine,"Janesville, WI Metropolitan Statistical Area",27500.0,30894.398,65404.0,22.3,18.7,25.1,15.2,18.7,41.2,165000.0,"Under 18: 22.3%, 18-34: 18.7%, 35-54: 25.1%, 55-64: 15.2%, 65+: 18.7%",Balanced Age Mix,2008.0,57.371428571428574,48600.0,183466.0,0.4446421476297645,120.0,321.0,180.0,261.0,240.0,261.0,240.0,180.0,120.0,80.0,5.9760956175298805,15.98605577689243,8.964143426294822,12.998007968127489,11.95219123505976,12.998007968127489,11.95219123505976,8.964143426294822,5.9760956175298805,3.98406374501992,0.3557137181038117,0.5335705771557174,0.4001779328667881,0.4891063623927411,0.6669632214446468,43.81975920679888,Medium,#2ca02c,47.80453257790368,62.3229461756374,45.36118980169972,1.5580736543909348,77.52124645892351,18.92430278884462,21.96215139442231,42.670646,-88.980597,,,
SSM Health Dean Medical Group - OB/GYN,3200 E. Racine St.,Janesville,WI,53546,,Clinic (or Outpatient Clinic),Obstetrics and Gynecology,https://www.getcare.ssmhealth.com/locations/location-details/womens-health-janesville-wi?specialty=Obstetrics%20and%20Gynecology,"Janesville, WI Metropolitan Statistical Area",27500.0,30894.398,65404.0,22.3,18.7,25.1,15.2,18.7,41.2,165000.0,"Under 18: 22.3%, 18-34: 18.7%, 35-54: 25.1%, 55-64: 15.2%, 65+: 18.7%",Balanced Age Mix,2008.0,57.371428571428574,48600.0,183466.0,0.4446421476297645,120.0,321.0,180.0,261.0,240.0,261.0,240.0,180.0,120.0,80.0,5.9760956175298805,15.98605577689243,8.964143426294822,12.998007968127489,11.95219123505976,12.998007968127489,11.95219123505976,8.964143426294822,5.9760956175298805,3.98406374501992,0.3557137181038117,0.5335705771557174,0.4001779328667881,0.4891063623927411,0.6669632214446468,43.81975920679888,Medium,#2ca02c,47.80453257790368,62.3229461756374,45.36118980169972,1.5580736543909348,77.52124645892351,18.92430278884462,21.96215139442231,42.670646,-88.980597,,,
SSM Health Monroe Clinic Medical Group,400 S. Center St.,Durand,IL,61024,,Clinic (or Outpatient Clinic),Family Medicine,https://www.getcare.ssmhealth.com/locations/location-details/primary-care-monroe-clinic-durand?specialty=Family%20Medicine,"Rockford, IL Metropolitan Statistical Area",40420.0,2536.653,71994.0,23.4,18.2,25.9,15.8,16.7,40.1,340000.0,"Under 18: 23.4%, 18-34: 18.2%, 35-54: 25.9%, 55-64: 15.8%, 65+: 16.7%",Balanced Age Mix,231.0,9.24,64240.0,282153.0,0.1669551066103533,13.0,36.0,20.0,30.0,27.0,30.0,27.0,20.0,13.0,9.0,5.627705627705628,15.584415584415584,8.658008658008658,12.987012987012983,11.688311688311687,12.987012987012983,11.688311688311687,8.658008658008658,5.627705627705628,3.896103896103896,0.1335640852882826,0.2003461279324239,0.1502595959493179,0.1836506172713886,0.25043265991553,22.63456090651558,Low,#d62728,11.437677053824364,4.709631728045325,3.647308781869688,73.03470254957507,33.14447592067989,18.18181818181818,21.21212121212121,42.4323668,-89.331825,,,
SSM Health Dean Medical Group,740 Reena Ave.,Fort Atkinson,WI,53538,,Clinic (or Outpatient Clinic),Family Medicine,https://www.getcare.ssmhealth.com/locations/location-details/dean-medical-group-fort-atkinson?specialty=Family%20Medicine,"Watertown-Fort Atkinson, WI Metropolitan Statistical Area",48020.0,18550.84,63676.0,21.2,17.5,26.8,16.8,17.7,42.5,85000.0,"Under 18: 21.2%, 18-34: 17.5%, 35-54: 26.8%, 55-64: 16.8%, 65+: 17.7%",Balanced Age Mix,1060.0,30.285714285714285,48715.0,181153.0,0.5010710576206725,63.0,169.0,95.0,137.0,127.0,137.0,127.0,95.0,63.0,42.0,5.943396226415095,15.943396226415093,8.962264150943396,12.924528301886792,11.9811320754717,12.924528301886792,11.9811320754717,8.962264150943396,5.943396226415095,3.962264150943396,0.400856846096538,0.601285269144807,0.4509639518586052,0.5511781633827398,0.7516065864310087,33.02301699716713,Low,#d62728,37.25212464589235,66.21813031161473,17.174220963172804,2.6912181303116145,56.345609065155806,18.867924528301884,21.886792452830186,42.9404372,-88.8626129,,,
SSM Health Davis Duehr Dean Eye Care,128 N. Tratt St.,Whitewater,WI,53190,,Clinic (or Outpatient Clinic),,https://www.ssmhealth.com/locations/location-details/davis-duehr-dean-eye-care-whitewater,"Whitewater, WI Metropolitan Statistical Area",48580.0,13833.215,61106.0,19.8,25.6,24.3,15.9,14.4,38.7,105000.0,"Under 18: 19.8%, 18-34: 25.6%, 35-54: 24.3%, 55-64: 15.9%, 65+: 14.4%",High Young Adult Population,594.0,16.97142857142857,52772.0,218997.0,0.5089882961206433,35.0,95.0,53.0,77.0,71.0,77.0,71.0,53.0,35.0,23.0,5.892255892255893,15.993265993265991,8.922558922558922,12.962962962962962,11.952861952861952,12.962962962962962,11.952861952861952,8.922558922558922,5.892255892255893,3.872053872053872,0.4071906368965147,0.610785955344772,0.458089466508579,0.5598871257327077,0.763482444180965,29.33392351274788,Low,#d62728,15.120396600566572,68.59065155807366,7.188385269121814,22.319405099150146,55.7471671388102,18.686868686868685,21.88552188552188,42.835824,-88.74993,,,
SSM Health Dean Medical Group,1305 W. Main St.,Whitewater,WI,53190,,Clinic (or Outpatient Clinic),Flu Clinic,https://www.getcare.ssmhealth.com/locations/location-details/dean-medical-group-whitewater?specialty=Flu%20Clinic,"Whitewater, WI Metropolitan Statistical Area",48580.0,13833.215,61106.0,19.8,25.6,24.3,15.9,14.4,38.7,105000.0,"Under 18: 19.8%, 18-34: 25.6%, 35-54: 24.3%, 55-64: 15.9%, 65+: 14.4%",High Young Adult Population,594.0,16.97142857142857,52772.0,218997.0,0.5089882961206433,35.0,95.0,53.0,77.0,71.0,77.0,71.0,53.0,35.0,23.0,5.892255892255893,15.993265993265991,8.922558922558922,12.962962962962962,11.952861952861952,12.962962962962962,11.952861952861952,8.922558922558922,5.892255892255893,3.872053872053872,0.4071906368965147,0.610785955344772,0.458089466508579,0.5598871257327077,0.763482444180965,29.33392351274788,Low,#d62728,15.120396600566572,68.59065155807366,7.188385269121814,22.319405099150146,55.7471671388102,18.686868686868685,21.88552188552188,42.835824,-88.74993,,,
Imaging Services at SSM Health Dean Medical Group,1305 W. Main St.,Whitewater,WI,53190,,Imaging Center / Radiology,Medical Imaging,https://www.ssmhealth.com/locations/location-details/imaging-dean-medical-group-whitewater,"Whitewater, WI Metropolitan Statistical Area",48580.0,13833.215,61106.0,19.8,25.6,24.3,15.9,14.4,38.7,105000.0,"Under 18: 19.8%, 18-34: 25.6%, 35-54: 24.3%, 55-64: 15.9%, 65+: 14.4%",High Young Adult Population,594.0,16.97142857142857,52772.0,218997.0,0.5089882961206433,35.0,95.0,53.0,77.0,71.0,77.0,71.0,53.0,35.0,23.0,5.892255892255893,15.993265993265991,8.922558922558922,12.962962962962962,11.952861952861952,12.962962962962962,11.952861952861952,8.922558922558922,5.892255892255893,3.872053872053872,0.4071906368965147,0.610785955344772,0.458089466508579,0.5598871257327077,0.763482444180965,29.33392351274788,Low,#d62728,15.120396600566572,68.59065155807366,7.188385269121814,22.319405099150146,55.7471671388102,18.686868686868685,21.88552188552188,42.835824,-88.74993,,,
SSM Health Dean Medical Group,1305 W. Main St.,Whitewater,WI,53190,,Laboratory / Lab,Laboratory,https://www.getcare.ssmhealth.com/locations/location-details/dean-medical-group-whitewater?specialty=Laboratory,"Whitewater, WI Metropolitan Statistical Area",48580.0,13833.215,61106.0,19.8,25.6,24.3,15.9,14.4,38.7,105000.0,"Under 18: 19.8%, 18-34: 25.6%, 35-54: 24.3%, 55-64: 15.9%, 65+: 14.4%",High Young Adult Population,594.0,16.97142857142857,52772.0,218997.0,0.5089882961206433,35.0,95.0,53.0,77.0,71.0,77.0,71.0,53.0,35.0,23.0,5.892255892255893,15.993265993265991,8.922558922558922,12.962962962962962,11.952861952861952,12.962962962962962,11.952861952861952,8.922558922558922,5.892255892255893,3.872053872053872,0.4071906368965147,0.610785955344772,0.458089466508579,0.5598871257327077,0.763482444180965,29.33392351274788,Low,#d62728,15.120396600566572,68.59065155807366,7.188385269121814,22.319405099150146,55.7471671388102,18.686868686868685,21.88552188552188,42.835824,-88.74993,,,
